respondent,term,comment
23,fun,its fun to check those bugs
23,clean,easy to see what is what and not complex
24,time-saving,It is workable
24,usable,was well organized
24,effective,I think it could be given the right sercumstances
24,fresh,Never seen anything like it before
24,useful,I think so for farmers who might have this type of problem
25,educational,I learned things I never knew about grasshoppers.
25,efficient,A usable way to diagnose grasshopper infestations without wasting time.
25,convenient,Doesn't require a lot of a work to get the right information.
25,understandable,"Easy to use, not too complex or difficult to grasp."
25,straightforward,Gets to the point in an informative manner.
26,educational,I learned things about grasshoppers that I never knew.
26,efficient,A quick and easy way to diagnose grasshopper infestations.
26,convenient,Accessible and easy to use.
26,understandable,Not too complex or technical; not difficult to grasp.
26,straightforward,Presents information in an understandable and effective manner.
27,boring,there was not interest to me about the program/software
27,unattractive,program seemed dated
27,dated,looked old
27,simplistic,seemed straight forward and able to gain the help and knowledge one needed
27,old,appeared as aged software
28,educational,Learned something about grasshopper levels
28,high quality,Good program
28,time-consuming,took a while
28,cutting edge,very good information
28,professional,well laid out
29,organized,easy to use because menus are easy to use and helpful
29,educational,results are informative
29,clear,directions and results are written clearly and concisely
29,attractive,picture is cute
29,usable,simple to follow and easy to use
30,understandable,"I could understand what it was trying to do, but didn't understand why I was asked to do it when I do not have crops or rangeland."
30,unattractive,I really do not like the font chosen. 
30,simplistic,"I really, really do not like the font chosen. It looked like it was thrown together pretty quickly."
31,effortless,It was very easy to use.
31,simplistic,"Again, easy to use and I understood immediately what I needed to do. "
31,unattractive,It just needs some pizzaz
31,useful,"I could see that this would be a very easy and helpful way for farmer's, for example, to notify of a grasshopped infestation."
31,simple,It is easy to use.
32,dated,"The graphic and the set up are a little plain, similar to something created about 5-10 years ago."
32,easy to use,self explanitory
32,educational,it can help teach
32,effective,it gets the information across
32,straightforward,self expanitory
33,organized,The software was organized in a way that was easy to use.
33,fast,It did not take long to get to the next question.
33,efficient,The software didn't have any distracting ads or banners to get in the way of the survey.
33,business-like,The text in the software was formal and concise.
34,unattractive,The look was very old school
35,educational,Good resource tool for farmers.
35,useful,Will come in handy for those wanting to know why the grasshoppers have broken out on their property.
35,simple,Was very easy to use.  Even those who are not really computer savvy will be able to figure it out.
35,new,Something that I've never seen before.
35,cutting edge,"Brand new to the farming community.  Can read about it in magazines, but are unable to really interact with the different types."
36,business-like,well organized
36,simple,easy to use
36,fast,fast results
36,convenient,use whenever
36,responsive,on the spot results
37,educational,i got to learn more about grasshopers
37,organized,many questions and pictures
38,old,Looks like i was made in the 80's
38,dated,Looks like it was made in the 80's
38,clear,Information was not jumbled on the page
38,simplistic,information was not jumbled on the page
38,unattractive,Type/font was hard to read
39,easy to use,It walked you through the steps of what to do
39,convenient,It gave diagrams on which grasshoppers to look for and how to identify them
39,useful,Provided information on whether the area has a grasshopper outbreak based on the information you give
39,straightforward,Does not ask questions that lead nowhere
39,accessible,The buttons are easy to find and easy to use
40,simplistic,Just clicking on buttons to see information. 
40,boring,Not much to it. Pull down menus were plain.
40,confusing,I could not figure out the density question. I did not find information about how many grasshoppers per square foot. Was I suppose to go to a field and count?
40,educational,Contained information about grasshopper infestation and what to do about it.
40,frustrating,Could not find the information I was looking for.
41,easy to use,I know nothing about grasshoppers or this kind of system but found the instructions easy to understand and follow
41,effective,Seems like a very easy way to manage infestation problems
41,straightforward,The instructions were very clear.
41,efficient,Didn't take very long to come up with a recommendations
41,clear,Language was simple and pictures had enough detail to be helpful
42,usable,I thought that this was a very usable tool
42,high quality,I thought that it presented a good product
42,friendly,It was easy to use
42,fast,It didn't take a long time to load
42,not valuable,I didn't think it added any value
43,busy,Too much stuff everywhere...kind of confusing.
43,distracting,"Again, confusing because there was stuff everywhere."
43,poor quality,When I hit the why button it took me back to the beginning which was extremely annoying.
43,awkward,"It wasn't personal or warm, colorful or inviting."
43,new,You can tell.
44,ordinary,Didn't really distinquish itself user wise.
44,old,Looked like an old atari game compared to newer software
44,effortless,As long as you could read and follow direction you were good
44,clear,No need to think as you went through software
44,simplistic,Not very engaging
45,poor quality,"very simple, good content, poor design"
45,awkward,don't know about grasshoppers
45,dated,the design seemed like it was from the 80's
45,confusing,"again, i had not idea what the content was about, but i am not the target audience"
45,dull,"maybe using a design layout and better typography might make it more appealing, make people want to read"
46,responsive,It provided a response to my input and when I clicked on 'Why' it had explanations for things.
46,fast,It ran very quickly.
46,usable,It was very user friendly and easy to understand.
46,simple,There was no extra stuff that got in the way.
46,professional,It had a professional look.
47,frustrating,It was frustrating to get all the percentages right
47,confusing,I was confused as to how to get the percentages right until I figured it out
47,business-like,Sticks to the facts
47,poor quality,Seems to basic and boring. It also seems crammed at the top of the page
47,effective,It gave me the information I needed so it did achieve its purpose
48,useful,All the information was there that i needed depending on what I was trying to access. There was enough information there to help me with my grasshopper situation.  
48,fast,The system didn't lag or anything.  I clicked the buttons that I needed to and it took me straight to my destination.
48,dull,"It's gray.  It's a little bland.  It doesn't need to be colorful or flashy or anything, I just noticed it was a little simple, which is good."
48,responsive,"The program didn't reroute me somewhere weird, didn't lag, and didn't crash when I clicked a button.  Very responsive to my commands."
48,clear,"It information it was trying to relay to me was very clear, and there wasn't anything in the way to distract me from the message or idea of what the program was trying to do."
49,clear,Seems easy enough to understand.
49,straightforward,Seems easy enough to understand.
49,reliable,Seems easy to use and like it would really help a user to find the crop problems
49,efficient,Worked well
49,understandable,Explains how to use fairly well.
50,innovative,The graphs and maps showed a good and detailed view of what the consumer would need to know.
50,cluttered,The explanatory paragraphs were plain and too crammed together to want to read them.
50,straightforward,The directions were simple and easy to understand.
50,understandable,Easy to understand the process.
50,convenient,Simple program to find the information one is looking for.
51,relevant,Important tool for farmers and valuable resource.
51,professional,Sounds like author knew what he's talking about.
51,clear,Didn't get lost in the directions and the layout was easy to understand.
51,organized,The program had a natural flow and was well organized.
51,easy to use,Directions were concise and easy to follow.
52,poor quality,The way the program opens seems kind of goofy.
52,creative,Never seen anything like it before.
52,useful,Seems like it would be useful to farmers.
52,straightforward,Questions were easy to understand.
52,simplistic,"Questions were easy to understand, layout simple."
53,awkward,"The buttons in the middle of the screen are small and vary in length, would much better if they were a little bigger and standardized "
53,useful,Useful for general knowledge base.
53,fast,"The responses both forward back, help have quick responses that fall within an acceptable period of time."
53,vague,"For a user experienced with grasshoppers it appears to be of little to know value, the information, pictures may still be useful however. "
53,confusing,"Took 2-3 minutes just playing around before I understood what the program was intended for, however, that was probably more do to a lake of information about the program before hand.  Most programs people use people have a basic idea of what they want to get out of the program or expect to get out of the program."
54,simplistic,easy to use. not a lot of buttons
54,flexible,allows you to view multiple areas.  not restricted to one.
54,straightforward,Easy to understand statments and questions
54,unattractive,boring color scheme
54,organized,easy to use
55,useful,Contains the correct information.
55,flexible,Adaptable to user's needs.
55,approachable,Easy to use.
55,straightforward,Understandable
55,business-like,Professional
56,straightforward,It gives you options on a step by step basis
56,vague,"The maps are vague, needs landmarks"
56,customizable,Can atune it to individual person
56,intuitive,"Simple control pannel, ""Help"" button"
56,time-consuming,Repetitive clicking from it being so customixable
